,Headline,Country
0,COVID-19 omicron variant uncertainty adds to Alabama health officials' list of concerns,Alabama
1,Alabama COVID-19 hospitalizations decline but pandemic still ongoing,Alabama
2,Update on Alabama COVID-19 numbers,Alabama
3,Emergence of Omicron variant serves as reminder to get COVID-19 vaccination,Alabama
4,"Alabama COVID hospitalizations increased slightly last week, data shows",Alabama
5,Alabama COVID-19 vaccine exemption bill in position for final passage,Alabama
6,Alabama school first in weeks to go remote due to COVID increases,Alabama
7,Few Alabama children 5 to 11 have received COVID-19 vaccine,Alabama
8,COVID-19 omicron variant uncertainty adds to Alabama's health officials list of concerns,Alabama
9,Pediatric COVID-19 vaccine now available in Alabama,Alabama
10,"COVID transmission decreasing across Alabama, health officials cautious ahead of holidays",Alabama
11,Alabama to resume prison visitations with restrictions,Alabama
12,"Kids’ turn arrives for COVID-19 vaccine shots in the U.S., Alabama",Alabama
13,ADPH: COVID-19 Cases in Alabama Schools Fall Below 700 - Alabama News,Alabama
14,Alabama Enacts Legislation That Restricts COVID-19 Vaccine Mandates,Alabama
15,"Alabama chief dies of COVID-19, regretted decision to not get vaccinated",Alabama
16,New COVID-19 antiviral pill not a substitute for vaccination,Alabama
17,North Alabama lags state in fully vaccinated residents,Alabama
18,"New COVID-19 Variant Emerges, Named ""Omicron"" - Alabama News",Alabama
19,"In Alabama, Santa Claus is returning to town after COVID-19, and demand is soaring",Alabama
20,Alabama Attorney General Steve Marshall files legal challenge against OSHA COVID-19 vaccine mandate,Alabama
21,"WATCH: Biden Says New COVID-19 Variant a Cause for Concern, Not Panic - Alabama News",Alabama
22,"As Pandemic Fades, Mobile Planning 2022 Mardi Gras | Alabama News | US News",Alabama
23,COVID survivor recovers despite doctors telling her she won’t make it,Alabama
24,EXPLAINER: What we know and don't know about omicron variant,Alabama
25,"Daily News Digest - November 30, 2021",Alabama
26,🌱 2nd Amazon Union Vote + COVID-19 Omicron Variant,Alabama
27,Dr. Loyd-Davis President of Alabama's Nurse Practitioner Alliance!,Alabama
28,How a vaccine-hesitant sheriff became a vocal proponent,Alabama
29,Montgomery hospitals to follow federal COVID-19 vaccine mandate,Alabama
30,Alabama hospitals caring for 28 children with COVID-19 on Friday,Alabama
31,The Latest: CDC says ages 18 and up should get booster shot - WVUA23,Alabama
32,COVID-19 cases and hospitalization decline in Alabama as death rate remains stagnant,Alabama
33,"Alabama schools report 5,970 COVID-19 cases already this school year",Alabama
34,Bama Tracker compiles COVID-19 data for Alabama,Alabama
35,"Has the curve flattened in your area? Compare Alabama, U.S. COVID spread using this tool",Alabama
36,Counties with highest COVID-19 infection rates in Alabama,Alabama
37,Alabama Department of Public Health announces KICK COVID campaign,Alabama
38,"12,000 dead in Alabama due to COVID-19",Alabama
39,Teen city councilman in Alabama who voted against masks has Covid-19,Alabama
40,Alabama has highest COVID case positivity rate in the US,Alabama
41,Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law,Alabama
42,"Alabama sees promising decline in COVID-19 cases, hospitalizations",Alabama
43,South Alabama hospital to hold 1:30 pm COVID-19 news conference,Alabama
44,COVID-19 cases continue to decline in Alabama public schools,Alabama
45,'Totally unacceptable:' Gov. Ivey responds to President Biden's COVID-19 vaccine mandates,Alabama
46,"Alabama governor urging vaccinations as COVID-19 cases, hospitalizations climb",Alabama
47,"End dates set for Alabama COVID-19 public health order, state of emergency",Alabama
48,Football Game Notes: Georgia Faces Alabama for SEC Championship - University of Georgia Athletics,Alabama
49,"Overwhelmed With COVID Patients, Alabama Hospitals Near Crisis Level",Alabama
50,Governor Ivey Announces Reallocation of $12.3 Million in CARES Act Funds for COVID-19 Nursing Shortage - Office of the Governor of Alabama,Alabama
51,"Alabama COVID-19 website, Bama Tracker, coming to an end",Alabama
52,UAB's Saag: Alabama sees uptick in COVID-19 cases after Memorial Day as residents lag behind in vaccinations,Alabama
53,"A Man Died After Being Turned Away From 43 ICUs At Capacity Due To COVID, Family Says",Alabama
54,"UAB expert: COVID now ‘a wildfire’ in Alabama, urges everyone to wear masks",Alabama
55,Alabama doctor says COVID surge is 'all-hands-on-deck moment' for state,Alabama
56,Alabama girl has fought off COVID-19 multiple times,Alabama
57,Back to school: Alabama health officials release updated COVID-19 guidance,Alabama
58,"COVID-19 in Alabama: Hospitalizations for Tuesday, Oct. 12 Fall Below 900 - Alabama News",Alabama
59,Alabama lawmakers' proposed bill would allow employees to sue over COVID-19 side effects,Alabama
60,Alabama braces for post-Labor Day COVID-19 case rise,Alabama
